lna,a,A,omega,h,h2
-6.506715068533207,0.0014933773166649947,0.9999328536052379,-1.0722541840143358,10634.108849323531,113084271.01926103
-6.503722163636616,0.0014978535480746397,0.9999325513173172,-1.070708738556336,10583.889106954763,112018708.62831569
-6.500729257824764,0.001502343197862116,0.9999322480477485,-1.069201684159258,10533.91296359621,110963322.3246203
-6.497736351099541,0.001506846306252905,0.9999319436657575,-1.0685024604052065,10484.17919469129,109918013.38639772
-6.4947434434629505,0.0015113629135929004,0.9999316378855205,-1.0688617029560112,10434.686581423035,108882684.05252995
-6.491750534916999,0.0015158930603489306,0.99993133044182,-1.0698737058450383,10385.43391145379,107857237.52917439
-6.488757625463594,0.0015204367871092825,0.9999310212491298,-1.0707452508096236,10336.419979580438,106841577.99426965
-6.485764715104496,0.0015249941345841353,0.9999307104469678,-1.0707912251710623,10287.643587886567,105835610.59138359
-6.482771803841365,0.0015295651436058602,0.9999303983067181,-1.0698471904535525,10239.103545294607,104839241.4112646
-6.4797788916758625,0.0015341498551292283,0.9999300850602135,-1.0683524550462251,10190.798666789278,103852377.46703413
-6.476785978609756,0.001538748310231624,0.9999297707560583,-1.067066370084153,10142.727772771514,102874926.67255059
-6.4737930646449495,0.0015433605501133571,0.9999294552297923,-1.066602422588291,10094.889688907042,101906797.83120172
-6.470800149783432,0.0015479866160981084,0.9999291382029419,-1.0670658688173205,10047.283246523264,100947900.63586706
-6.4678072340271795,0.0015526265496334562,0.9999288194482666,-1.0680068961698672,9999.907283278377,99998145.67416392
-6.464814317378057,0.0015572803922913924,0.9999284989207743,-1.0687050177176856,9952.760643675818,99057444.43030228
-6.461821399837798,0.0015619481857687342,0.9999281767773754,-1.0686036903420864,9905.842179103993,98125709.27731574
-6.458828481408055,0.0015666299718874227,0.9999278532763547,-1.0676331397184216,9859.150747374428,97202853.45945373
-6.4558355620904955,0.0015713257925947463,0.9999275286191249,-1.0662361102830724,9812.685212027509,96288791.07034336
