z_lo,z_hi,label,N,mean_resid,rms_resid,expected_rms,ratio_rms_to_expected,chi2_per_sn,sigma_chi2,excess_sigma,catalog,cosmology
0.6,0.7,0.60-0.70,349,0.06896536010500942,0.23556571822126426,0.18404837954433065,1.2799119383962028,1.658448940381445,0.07570111641044645,8.698008320133331,Pantheon+ + DES,V_3 numerical KG
0.7,0.8,0.70-0.80,172,0.03801884133651233,0.16532217225334933,0.19717391860463435,0.8384586228407169,0.7937889940073795,0.10783277320343841,-1.9123221991479413,Pantheon+ + DES,V_3 numerical KG
0.8,0.9,0.80-0.90,83,0.06145902113899591,0.2069129185281255,0.22891781291257063,0.9038742590431381,0.9812167538001925,0.1552301051412666,-0.1210025992233524,Pantheon+ + DES,V_3 numerical KG
0.9,1.0,0.90-1.00,35,0.10177492212301256,0.26399524410043285,0.20047560440113404,1.31684473474489,1.495720076361219,0.23904572186687872,2.0737458612092574,Pantheon+ + DES,V_3 numerical KG
1.0,1.5,1.00-1.50,35,0.10163730688720253,0.23596964119379502,0.23553320665490643,1.0018529639412077,1.3123269304580227,0.23904572186687872,1.3065572896215785,Pantheon+ + DES,V_3 numerical KG
1.5,2.5,1.50-2.50,7,0.04831582206714404,0.1308010346767356,0.2361528832890132,0.5538828611999462,0.46773888998387975,0.5345224838248488,-0.995769356992157,Pantheon+ + DES,V_3 numerical KG
0.0,0.1,0.00-0.10,618,0.0254175891768206,0.17214056367432132,0.18138878911204515,0.9490143493266768,0.9606095039222837,0.05688801239885743,-0.692421732043277,Pantheon+,LCDM reference
0.1,0.2,0.10-0.20,207,0.012867520383713207,0.14171130330476256,0.14638710081501086,0.9680586780924291,0.9923982715573164,0.09829463743659808,-0.07733614611058356,Pantheon+,LCDM reference
0.2,0.28,0.20-0.28,211,-0.0021631215228972867,0.14496774796604,0.15539532021596947,0.9328964846854001,0.8361671790878361,0.0973584767022471,-1.6827792141121547,Pantheon+,LCDM reference
0.28,0.32,0.28-0.32 *TRANSITION*,99,0.016453042671253765,0.15191773348379553,0.16340212218742306,0.9297170162180949,0.8394658259808461,0.1421338109037403,-1.1294580297145147,Pantheon+,LCDM reference
0.32,0.4,0.32-0.40,135,-0.004184453260539714,0.12756153085059327,0.15651281287036084,0.8150229269488125,0.7662601356669647,0.12171612389003691,-1.9203689442510097,Pantheon+,LCDM reference
