body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,8897655.470796745,1.3965869519379603,9.969033866234677e-10,1.1204113149755386e-16,5.034877358247965,5.034877358247965,1.0,0.0
Earth,8921181.468487635,1.4002796214860518,9.942744582853784e-10,1.114509845806256e-16,5.008357478357723,5.008357478357723,1.0,0.0
Earth,8944769.67049394,1.4039820547000377,9.916524626794872e-10,1.1086394610591767e-16,4.981977284894647,4.981977284894647,1.0,0.0
Earth,8968420.241288021,1.4076942773957026,9.890373815235267e-10,1.1027999970053631e-16,4.955736042097585,4.955736042097585,1.0,0.0
Earth,8992133.345777173,1.4114163154570982,9.86429196583436e-10,1.0969912907782628e-16,4.929633018080749,4.929633018080748,1.0000000000000002,1.801713061484482e-16
Earth,9015909.14930466,1.415148194836707,9.838278896732444e-10,1.091213180369193e-16,4.903667484813426,4.903667484813425,1.0000000000000002,1.8112533577180726e-16
Earth,9039747.817650944,1.418889941555634,9.81233442654938e-10,1.085465504622805e-16,4.8778387180995955,4.877838718099595,1.0000000000000002,1.8208441710146568e-16
Earth,9063649.51703482,1.4226415817037859,9.786458374383348e-10,1.0797481032325924e-16,4.8521459975577415,4.8521459975577415,1.0,0.0
Earth,9087614.414114561,1.4264031414400504,9.760650559809592e-10,1.0740608167364247e-16,4.826588606600788,4.826588606600788,1.0,0.0
Earth,9111642.67598915,1.4301746469924892,9.734910802879101e-10,1.0684034865120839e-16,4.801165832416035,4.801165832416034,1.0000000000000002,1.8499223953136768e-16
Earth,9135734.470199332,1.4339561246585044,9.709238924117466e-10,1.0627759547728646e-16,4.77587696594539,4.775876965945389,1.0000000000000002,1.8597179660056623e-16
Earth,9159889.964728864,1.4377476008050327,9.683634744523548e-10,1.0571780645631573e-16,4.750721301865517,4.750721301865516,1.0000000000000002,1.8695654054708593e-16
Earth,9184109.328005662,1.4415491018687274,9.65809808556825e-10,1.051609659754074e-16,4.725698138568183,4.725698138568183,1.0,0.0
Earth,9208392.728902958,1.4453606543561386,9.632628769193296e-10,1.0460705850390982e-16,4.70080677814071,4.70080677814071,1.0,0.0
Earth,9232740.336740553,1.4491822848439104,9.607226617809902e-10,1.0405606859297371e-16,4.676046526346432,4.676046526346432,1.0,0.0
Earth,9257152.321285881,1.4530140199789485,9.581891454297669e-10,1.0350798087512378e-16,4.651416692605449,4.651416692605449,1.0,0.0
Earth,9281628.852755276,1.4568558864786183,9.55662310200325e-10,1.0296278006382836e-16,4.626916589975285,4.626916589975284,1.0000000000000002,1.9195902982657176e-16
Earth,9306170.101815134,1.4607079111309267,9.531421384739162e-10,1.0242045095307353e-16,4.602545535131753,4.602545535131752,1.0000000000000002,1.9297547692262002e-16
Earth,9330776.239583082,1.4645701207947077,9.50628612678256e-10,1.0188097841693951e-16,4.578302848349916,4.578302848349916,1.0,0.0
Earth,9355447.437629256,1.4684425423998204,9.481217152873935e-10,1.0134434740917693e-16,4.554187853485048,4.554187853485047,1.0000000000000002,1.9502454625811176e-16
Earth,9380183.867977373,1.4723252029473197,9.456214288216014e-10,1.0081054296278988e-16,4.530199877953892,4.5301998779538915,1.0000000000000002,1.9605722564746516e-16
Earth,9404985.703106016,1.4762181295096557,9.431277358472465e-10,1.0027955018961662e-16,4.506338252715827,4.506338252715827,1.0,0.0
Earth,9429853.115949808,1.4801213492308598,9.406406189766693e-10,9.975135427991496e-17,4.482602312254229,4.482602312254229,1.0,0.0
Earth,9454786.279900607,1.4840348893267314,9.38160060868065e-10,9.92259405019494e-17,4.458991394557918,4.458991394557918,1.0,0.0
Earth,9479785.368808787,1.4879587770850395,9.356860442253559e-10,9.870329420157878e-17,4.435504841102632,4.435504841102631,1.0000000000000002,2.0024291518512494e-16
Earth,9504850.556984337,1.491893039865694,9.332185517980803e-10,9.818340080184998e-17,4.412141996832764,4.412141996832764,1.0,0.0
Earth,9529982.019198153,1.4958377051009502,9.307575663812664e-10,9.766624580258964e-17,4.388902210143021,4.38890221014302,1.0000000000000002,2.0236915227855632e-16
Earth,9555179.930683233,1.4997928002955945,9.283030708153136e-10,9.71518147800003e-17,4.365784832860268,4.365784832860268,1.0,0.0
Earth,9580444.46713589,1.503758353027137,9.25855047985874e-10,9.664009338625831e-17,4.342789220225466,4.342789220225466,1.0,0.0
Earth,9605775.804717043,1.5077343909460121,9.234134808237267e-10,9.613106734911222e-17,4.31991473087562,4.31991473087562,1.0,0.0
Earth,9631174.120053336,1.5117209417757551,9.209783523046699e-10,9.562472247148715e-17,4.297160726826001,4.297160726826001,1.0,0.0
Earth,9656639.590238443,1.5157180333132072,9.185496454493938e-10,9.51210446310871e-17,4.274526573452275,4.274526573452275,1.0,0.0
Earth,9682172.39283429,1.5197256934287067,9.161273433233643e-10,9.462001978000142e-17,4.252011639472819,4.252011639472819,1.0,0.0
