x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_earth,A_moon,A_total,log10_A_total,toy_SU_density,gradient_magnitude,gradient_unit_x,gradient_unit_y
115790868.59688199,162630769.23076928,0.3012249443207128,0.4230769230769232,4.4430398525020904e-11,3.472730212116979e-13,4.47776715462326e-11,-10.348938493626894,5.47776715462326,2.22471706330144e-19,-0.5759385134397194,-0.8174930144881032
119643429.844098,162630769.23076928,0.31124721603563477,0.4230769230769232,4.3933307112896634e-11,3.5094917903637044e-13,4.4284256291933004e-11,-10.353750644449471,5.428425629193301,2.1750769667823895e-19,-0.5884018236482236,-0.8085686698898522
123495991.09131405,162630769.23076928,0.32126948775055686,0.4230769230769232,4.3437066626635055e-11,3.5468890019463715e-13,4.3791755526829694e-11,-10.35860764443261,5.37917555268297,2.126078616129425e-19,-0.6004399478438537,-0.7996698500214138
127348552.3385301,162630769.23076928,0.3312917594654789,0.4230769230769232,4.2942324563084274e-11,3.584932573902365e-13,4.330081782047451e-11,-10.363503901070072,5.3300817820474515,2.0777819647829145e-19,-0.6120630581708753,-0.790808961015564
131201113.58574611,162630769.23076928,0.34131403118040093,0.4230769230769232,4.244967413757302e-11,3.6236331139071604e-13,4.2812037448963734e-11,-10.368434103354982,5.281203744896374,2.0302389027168253e-19,-0.6232816406286938,-0.7819974401845596
135053674.83296216,162630769.23076928,0.35133630289532297,0.4230769230769232,4.195965642579638e-11,3.6630010699733065e-13,4.232595653279371e-11,-10.37339321839989,5.232595653279371,1.98349378717882e-19,-0.6341064093625365,-0.7732457963709544
138906236.0801782,162630769.23076928,0.36135857461024506,0.4230769230769232,4.147276267695799e-11,3.7030466857937735e-13,4.1843067345537363e-11,-10.378376486607007,5.184306734553736,1.9375839787114225e-19,-0.6445482292411049,-0.7645636534534951
142758797.32739422,162630769.23076928,0.37138084632516705,0.4230769230769232,4.098943674780722e-11,3.743779951356992e-13,4.136381474294292e-11,-10.383379415624637,5.136381474294292,1.8925403745651323e-19,-0.6546180464413723,-0.7559597960693949
146611358.57461026,162630769.23076928,0.38140311804008914,0.4230769230769232,4.05100776133753e-11,3.7852105484367683e-13,4.088859866821898e-11,-10.388397773306963,5.088859866821898,1.8483879329904811e-19,-0.6643268266862737,-0.7474422167264475
150463919.82182628,162630769.23076928,0.3914253897550111,0.4230769230769232,4.0035041916138606e-11,3.82734779053588e-13,4.0417776695192194e-11,-10.393427579874801,5.041777669519219,1.8051461831560887e-19,-0.6736855007298673,-0.739018163583513
154316481.06904233,162630769.23076928,0.4014476614699332,0.4230769230769232,3.9564646520925635e-11,3.870200556837826e-13,3.9951666576609414e-11,-10.398465099455656,4.995166657660942,1.7628297165755948e-19,-0.6827049166474246,-0.7306941882794971
158169042.31625837,162630769.23076928,0.4114699331848553,0.4230769230769232,3.9099171048072124e-11,3.9137772196973636e-13,3.949054877004186e-11,-10.40350683116229,4.949054877004186,1.7214486569256402e-19,-0.6913957984687541,-0.7224761932823488
