catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,SN2017cjv,0.06092,37.20488,0.1051,90.53042682380334,37.1104233238313,37.12669263458162,37.25590406150355,37.18048591717786,0.05-0.10,36.742048037108894,0.09445667616870423,-0.3683752867224044,-0.43843788006896744
DES,2001ah,0.05886,37.15499,0.1291,59.99948400443757,37.03360805194757,37.04989317291567,37.17922604238685,37.10261133951524,0.05-0.10,36.69069674329489,0.12138194805243074,-0.34291130865267405,-0.411914596220349
DES,2008bz,0.06099,37.36659,0.0716,195.0625760744047,37.11298892091412,37.129257694963314,37.25846499920433,37.183087380899266,0.05-0.10,36.90380769272393,0.2536010790858825,-0.20918122819018947,-0.2792796881753361
DES,2006ob,0.05824,37.05644,0.0849,138.7345467056788,37.009976008708186,37.026265894109,37.155635358968546,37.07865903351697,0.05-0.10,36.591706936418845,0.04646399129181589,-0.4182690722893412,-0.4869520970981256
DES,Gaia16acv,0.07859,37.95956,0.0823,147.63873981477244,37.68153568238441,37.69767062889364,37.82584965788791,37.760386379491614,0.05-0.10,37.50926253307648,0.2780243176155963,-0.1722731493079266,-0.2511238464151333
DES,PS15bjg,0.06786,37.54095,0.0941,112.9329708937854,37.35181029855147,37.368026570935875,37.49683053977944,37.42538776970928,0.05-0.10,37.083041036657,0.1891397014485321,-0.2687692618944695,-0.34234673305228114
DES,2006oa,0.06153,37.2229,0.1098,82.94597562715452,37.1326849345767,37.14894956954996,37.278125079095666,37.20305979519891,0.05-0.10,36.760500750325654,0.09021506542330116,-0.37218418425104716,-0.44255904487325637
DES,2003ic,0.05126,36.49961,0.1333,56.278135550391724,36.72557125538842,36.74191497207776,36.87169786416453,36.79060236254291,0.05-0.10,36.029925562233565,-0.2259612553884196,-0.6956456931548516,-0.7606768003093478
DES,PS16n,0.05309,36.98166,0.0795,158.22158933586488,36.80362947867475,36.81995904762184,36.949633292895285,36.86962631117626,0.05-0.10,36.51327370188386,0.17803052132524755,-0.2903557767908893,-0.35635260929240076
DES,AT2016htn,0.05222,36.98666,0.1272,61.80530833432221,36.76685300763632,36.78318929950366,36.91291517384182,36.83239146126837,0.05-0.10,36.517656553525526,0.2198069923636794,-0.24919645411079472,-0.31473490774284585
DES,AT2016cor,0.05066,36.87577,0.1949,26.325481407497133,36.699384928908486,36.71573328953986,36.8455518431864,36.76409811771612,0.05-0.10,36.405659942676095,0.17638507109151647,-0.29372498623239096,-0.3584381750400212
DES,Gaia16aki,0.07393,37.69622,0.0899,123.73159647166982,37.544050447535895,37.560220613154726,37.688670304521594,37.62063482031851,0.05-0.10,37.242616887846765,0.1521695524641018,-0.30143355968913,-0.3780179324717423
DES,2007kh,0.05032,36.64724,0.1981,25.48185551736958,36.684411180195795,36.70076217356599,36.830600944133025,36.74894393257138,0.05-0.10,36.17688875826019,-0.03717118019579857,-0.5075224219356045,-0.5720551743111884
DES,1871023,0.1484,39.93288,192.4317,2.7005160755028622e-05,39.13184425602876,39.1474693800012,39.27172609564657,39.24051102159635,0.10-0.15,39.532103368588494,0.8010357439712408,0.4002591125597377,0.29159234699214664
DES,1317666,0.14136,39.34775,0.1421,49.523558604445924,39.01935210448262,39.03502717621348,39.15966851824336,39.12534703134891,0.10-0.15,38.941979432447475,0.3283978955173765,-0.0773726720351462,-0.18336759890143384
DES,1293758,0.14812,39.29882,0.0844,140.383189955302,39.12746706077937,39.14309416523129,39.26736613317009,39.23602892503215,0.10-0.15,38.89784474612834,0.17135293922063255,-0.22962231465102434,-0.33818417890380914
DES,1283923,0.14631,39.46035,0.1576,40.26127960009277,39.098982263651166,39.114622182610574,39.238992836164016,39.20686329732028,0.10-0.15,39.05809079379663,0.3613677363488321,-0.040891469854535956,-0.14877250352365223
DES,1324938,0.19847,40.74201,192.8023,2.6901443175957055e-05,39.81198448214157,39.827263346043786,39.948851542120686,39.937662953710976,0.15-0.20,40.37675132065964,0.9300255178584322,0.5647668385180751,0.43908836694866693
DES,1261193,0.19246,39.86546,0.2171,21.216822988682313,39.739408407758766,39.75472802128397,39.87663045454898,39.86322278568213,0.15-0.20,39.495938031425624,0.1260515922412324,-0.24347037633314272,-0.3672847542565094
DES,1247420,0.15026,39.18191,0.1013,97.4498352610535,39.160725588953525,39.17633756961608,39.30049306144384,39.27008634649067,0.15-0.20,38.78245278921667,0.021184411046476725,-0.37827279973685535,-0.4876335572740018
DES,1298893,0.19616,39.9279,0.1359,54.1453401708069,39.7843333598294,39.79962786055731,39.92133664473536,39.90930089955962,0.15-0.20,39.56100268536338,0.1435666401706044,-0.22333067446601973,-0.34829821419624096
DES,1479069,0.17267,39.59667,0.0994,101.21088705269847,39.484567936689025,39.5000232823233,39.62297203160889,39.60190707018236,0.15-0.20,39.213109679688294,0.11210206331097794,-0.2714582570007309,-0.38879739049406226
DES,1578103,0.16008,39.39296,0.1643,37.04459687884454,39.307850736342274,39.323393690896765,39.44701748737786,39.42079396642286,0.15-0.20,39.00046876264065,0.08510926365772775,-0.3073819737016237,-0.4203252037822125
