trial,z_bin,z_left,z_right,z_center,n_des_train,n_union_ref,des_mu_median,union_mu_median,delta_mu_des_minus_union,valid_bin
7,0.60-0.70,0.6,0.7,0.6499999999999999,221,56,42.93252,42.7805,0.15201999999999316,True
7,0.70-0.80,0.7,0.8,0.75,95,47,43.33248,43.1675,0.1649799999999999,True
7,0.80-1.00,0.8,1.0,0.9,85,7,43.66835,43.5331,0.1352499999999992,True
8,0.00-0.05,0.0,0.05,0.025,106,646,36.04309,35.2665,0.7765899999999988,True
8,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.20911,37.1925,0.016610000000000014,True
8,0.10-0.15,0.1,0.15,0.125,13,86,38.87889,38.802,0.07688999999999879,True
8,0.15-0.20,0.15,0.2,0.175,20,123,39.69446,39.5427,0.1517599999999959,True
8,0.20-0.25,0.2,0.25,0.225,52,140,40.26777,40.1351,0.1326699999999974,True
8,0.25-0.28,0.25,0.28,0.265,38,72,40.6058,40.5139,0.09190000000000254,True
8,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.92345,40.9018,0.021650000000001057,True
8,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.22274,41.1012,0.12154000000000309,True
8,0.35-0.40,0.35,0.4,0.375,98,66,41.44162,41.3794,0.062220000000003495,True
8,0.40-0.50,0.4,0.5,0.45,205,100,41.97567,41.8131,0.16257000000000232,True
8,0.50-0.60,0.5,0.6,0.55,232,83,42.45886,42.3205,0.1383599999999987,True
8,0.60-0.70,0.6,0.7,0.6499999999999999,221,56,42.92792,42.7805,0.14741999999999678,True
8,0.70-0.80,0.7,0.8,0.75,95,47,43.32792,43.1675,0.160420000000002,True
8,0.80-1.00,0.8,1.0,0.9,85,7,43.69555,43.5331,0.16244999999999976,True
9,0.00-0.05,0.0,0.05,0.025,106,646,35.99892,35.2665,0.7324199999999976,True
9,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.2229,37.1925,0.030400000000000205,True
9,0.10-0.15,0.1,0.15,0.125,13,86,38.98171,38.802,0.17971000000000004,True
9,0.15-0.20,0.15,0.2,0.175,20,123,39.69446,39.5427,0.1517599999999959,True
9,0.20-0.25,0.2,0.25,0.225,52,140,40.25625,40.1351,0.12115000000000009,True
9,0.25-0.28,0.25,0.28,0.265,38,72,40.6088,40.5139,0.09490000000000265,True
9,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.93135,40.9018,0.02955000000000041,True
9,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.21969,41.1012,0.11849000000000132,True
9,0.35-0.40,0.35,0.4,0.375,98,66,41.44162,41.3794,0.062220000000003495,True
9,0.40-0.50,0.4,0.5,0.45,205,100,41.96879,41.8131,0.15568999999999988,True
9,0.50-0.60,0.5,0.6,0.55,232,83,42.46451,42.3205,0.14400999999999442,True
