catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,1337687,0.32869,41.13399,0.1199,69.56033002202975,41.029536420589764,41.159139116907085,41.04398268804476,41.18507867719844,41.00857986292888,-0.020956557660881003,0.10445357941023303
DES,1909375,0.33753,41.21254,0.0889,126.53086530662856,41.0952105891753,41.22434800204162,41.109603612712725,41.25212054231377,41.08656102403064,-0.008649565144665416,0.11732941082469495
DES,1593067,0.34776,41.64355,0.2071,23.315235270541827,41.16931945834857,41.29792258070525,41.183651353724144,41.32771795809458,41.51691274100699,0.3475932826584227,0.47423054165142986
DES,1871017,0.3372,41.11461,0.0989,102.23683981838647,41.09278674455889,41.2219414665492,41.10718174865545,41.24964700715191,40.98865225896689,-0.10413448559200589,0.02182325544110597
DES,1339217,0.33191,41.09795,0.2958,11.428879681783418,41.05363942185711,41.183072249278794,41.06806624948402,41.209688701099466,40.972332661429746,-0.08130676042736695,0.04431057814288408
DES,1531108,0.34387,41.34527,0.1924,27.014060278093545,41.14137147345741,41.270177240082944,41.15572655179007,41.29921573231994,41.21888305586154,0.07751158240412792,0.2038985265425879
DES,1256570,0.34548,41.36581,0.1073,86.85614624490479,41.15297267611779,41.281694494546706,41.167318150356756,41.31104806967167,41.239319455111975,0.08634677899418364,0.2128373238822121
DES,1346966,0.33513,41.11304,0.13,59.17159763313609,41.07753408129876,41.20679748466401,41.09194152134643,41.23408024287596,40.98721545993062,-0.09031862136814084,0.03550591870124009
DES,1263197,0.33778,40.99379,0.1457,47.10650639777017,41.097045425457914,41.22616972844084,41.111436948934546,41.25399295286038,40.86779493695772,-0.2292504885001918,-0.10325542545791677
DES,1309330,0.34472,42.25376,7.0706,0.020002646606179873,41.147502357383836,41.27626378988929,41.16185236363037,41.305468951526414,42.12731835981363,0.9798160024297928,1.106257642616164
DES,1929216,0.33584,41.31977,0.1783,31.45555220379172,41.08277513801174,41.212001243581305,41.09717831016792,41.23942950286148,41.19389977264354,0.11112463463179978,0.2369948619882578
DES,1305626,0.32572,41.14461,0.1054,90.01580677566982,41.00711658133989,41.1368763538634,41.021580825823634,41.16218213193261,41.0193909773551,0.012274396015207856,0.13749341866010667
DES,1287437,0.33681,41.40221,0.3103,10.38571615069217,41.089919465932056,41.21909465014481,41.10431681139226,41.24672086751393,41.27627735480063,0.18635788886857085,0.31229053406794094
DES,1336150,0.3481,41.72694,0.2574,15.093255186495277,41.17174894128025,41.300334382103955,41.186078813939844,41.33019520141933,41.60028086258783,0.4285319213075809,0.5551910587197497
DES,1366482,0.32154,41.20996,0.1495,44.74222883412938,40.97525036272302,41.10523185178218,40.989739984140016,41.129630178089485,41.085009953214225,0.10975959049120831,0.23470963727698546
