catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,ASASSN-15hg,0.03143,35.8135,0.1302,58.98995047203758,474.3794585406575,35.69702192874256,35.642840009759595,35.79031060099611,35.56323686466045,0.11647807125743981,0.17065999024040224,0.023189399003889832,0.25026313533954436
DES,AT2017wb,0.03117,35.58907,0.1813,30.423164927932092,427.79910835513255,35.67856616468512,35.62453124571417,35.77201962278602,35.545114679282186,-0.08949616468512289,-0.03546124571416698,-0.182949622786019,0.043955320717813606
DES,PS15aii,0.04777,36.71031,0.077,168.66250632484397,716.9483590198045,36.632022981811204,36.56885003737411,36.71521140182424,36.47758201982631,0.0782870181887958,0.14145996262588767,-0.004901401824241702,0.23272798017369212
DES,PS16dnp,0.05023,36.97734,0.0903,122.63784186831393,810.7629142254544,36.744915947997406,36.68043099188022,36.826626805452996,36.58741713114735,0.23242405200259242,0.2969090081197763,0.15071319454700216,0.3899228688526506
DES,ASASSN-17at,0.02713,35.38339,0.1156,74.83147950814765,389.1382083884452,35.37061763003638,35.31888294743261,35.46664824151785,35.24236945316342,0.012772369963620633,0.06450705256738587,-0.08325824151785355,0.14102054683657883
DES,AT2017yk,0.04691,36.75031,0.1648,36.82015270053728,730.277424177104,36.591223616773206,36.52851188213016,36.6749312106081,36.437854833310595,0.1590863832267928,0.22179811786983805,0.07537878939189824,0.31245516668940354
DES,PS15asb,0.04989,36.69189,0.0956,109.41685194586928,710.8924061395666,36.72963582615937,36.66533156538976,36.81155023766227,36.572558840339674,-0.03774582615936595,0.02655843461024432,-0.11966023766226641,0.11933115966032659
DES,PS16el,0.0494,36.70592,0.0915,119.44220490310252,715.5003903878927,36.70743624411926,36.64339275769011,36.78964438596475,36.55096764177989,-0.0015162441192586584,0.0625272423098906,-0.08372438596475007,0.15495235822010756
DES,SN2016glp,0.0841,38.0676,0.1372,53.12412345196305,1339.5097375478206,37.915768763303774,37.83428499292605,37.978238959031984,37.717503370234766,0.1518312366962249,0.2333150070739478,0.089361040968015,0.3500966297652326
DES,ASASSN-15jl,0.03512,36.01851,0.1008,98.41899722852104,521.3481959346606,35.94398605142116,35.88773127788855,36.034949908917,35.80548343651256,0.07452394857883604,0.13077872211145092,-0.016439908917000423,0.2130265634874391
DES,AT2017zd,0.02969,35.385,0.1163,73.93338158718704,389.4268350495573,35.570551471182775,35.51735570106825,35.66494540239106,35.43900177939753,-0.1855514711827766,-0.13235570106824923,-0.27994540239106414,-0.054001779397530925
DES,PS15atx,0.07252,37.86168,0.13,59.17159763313609,1218.321406531984,37.57668736526576,37.50079590736024,37.64550857225217,37.39208431148092,0.2849926347342375,0.3608840926397576,0.21617142774783105,0.4695956885190782
DES,PS16em,0.07083,37.60601,0.1686,35.17911092536541,1082.998549735605,37.522922459226166,37.447865939077076,37.59268999893979,37.34033693036721,0.08308754077383185,0.15814406092292188,0.013320001060208142,0.2656730696327898
DES,SN2016glz,0.04077,36.15319,0.1167,73.4274232334647,554.7072920567788,36.27691024388577,36.217529817341166,36.36436432032334,36.13124436520242,-0.12372024388577074,-0.06433981734116401,-0.21117432032333738,0.02194563479758216
DES,ASASSN-16aj,0.02953,35.53344,0.1119,79.86193468731257,416.97870387273184,35.55855993172605,35.50545512320891,35.653055786847546,35.427216141351614,-0.02511993172605287,0.027984876791087743,-0.1196157868475467,0.10622385864838435
DES,ATLAS16agv,0.04819,36.59722,0.0935,114.38702851096686,680.5654145722398,36.651690256090376,36.5882925484408,36.73462562155986,36.49672627014326,-0.05447025609037581,0.008927451559202382,-0.13740562155985714,0.10049372985673699
DES,PS15bbn,0.03624,36.32659,0.1121,79.57722213424518,600.8193001068998,36.01394305877774,35.95706406603401,36.10420639163346,35.87401471067662,0.3126469412222619,0.36952593396599553,0.2223836083665418,0.4525752893233843
DES,PS16evk,0.05262,37.02932,0.102,96.11687812379856,830.404846241073,36.84958480113617,36.78383543235071,36.929870764263754,36.68912797298604,0.17973519886383116,0.24548456764928517,0.09944923573624465,0.34019202701395557
