catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,2006cf,0.04268,36.40134,0.1065,88.16592827701734,621.8617934891741,36.37935224026517,36.31892826623019,36.465633366673785,36.23128111903525,0.02198775973482725,0.08241173376980981,-0.06429336667378749,0.17005888096474564
DES,2006gr,0.03428,36.06484,0.1453,47.36622475557843,532.5910635522516,35.89007421615473,35.83428911358608,35.98156502566289,35.75264277781669,0.17476578384526675,0.23055088641391563,0.08327497433710818,0.3121972221833076
DES,2008gp,0.03333,35.79166,0.0911,120.49339635941253,469.63220940658465,35.82752545280658,35.772273085102285,35.91961383307411,35.691307406195065,-0.03586545280658271,0.019386914897715712,-0.127953833074109,0.100352593804935
DES,2003it,0.0251,35.08017,0.1641,37.13494952060637,338.4230031471144,35.19844984993614,35.14788243948015,35.295787270554314,35.07283045843825,-0.11827984993613683,-0.06771243948014671,-0.21561727055431135,0.007339541561755425
DES,2004gc,0.03267,35.53403,0.1497,44.62275698134189,417.09201448138776,35.783036436590365,35.72815515557928,35.87554098106563,35.64766259338944,-0.24900643659036348,-0.1941251555792789,-0.3415109810656318,-0.11363259338943976
DES,2001ah,0.05886,37.15499,0.1291,59.99948400443757,879.8808689844394,37.1026113403007,37.03360805194757,37.17922604238685,36.93449068856472,0.052378659699300556,0.12138194805243074,-0.024236042386853285,0.220499311435276
DES,2009bv,0.03848,36.31572,0.0942,112.69332539972322,597.8192220328617,36.14774589013935,36.08962532501703,36.236615276904146,36.004974631242746,0.1679741098606513,0.2260946749829671,0.07910472309585259,0.310745368757253
DES,2007ob,0.03243,35.74894,0.1845,29.376987536813036,460.48328989000777,35.76664048396339,35.71189434226439,35.859296566416134,35.631573871195585,-0.017700483963395186,0.03704565773561086,-0.11035656641613656,0.117366128804413
DES,2010dw,0.03902,36.15798,0.1499,44.503763015681784,555.9322584128423,36.17886541384679,36.12044690669413,36.267400172847985,36.035410512523384,-0.020885413846791323,0.03753309330587484,-0.10942017284798311,0.12256948747661767
DES,2016afk,0.04738,36.64349,0.1512,43.74177654600935,695.2225896323814,36.613609909839795,36.5506459553406,36.69703360011315,36.45965496430986,0.029880090160204986,0.09284404465940099,-0.05354360011315151,0.18383503569013726
DES,AT2017cfc,0.02512,35.13565,0.1211,68.18859054865221,347.1809402953589,35.2002118538726,35.14963290564406,35.29753636068368,35.07456651633159,-0.06456185387260405,-0.013982905644063237,-0.16188636068368112,0.06108348366840488
DES,PS16ayd,0.05469,37.0434,0.068,216.2629757785467,835.8067516487314,36.936590843874356,36.86975449119051,37.01565111308931,36.7735822301545,0.10680915612564235,0.1736455088094857,0.02774888691068611,0.26981776984549555
DES,PTSS-16efw,0.03568,36.38234,0.0909,121.02420363048408,616.4443480542121,35.97923240773754,35.92266523792952,36.06984570634959,35.84001656909752,0.40310759226245807,0.4596747620704775,0.3124942936504098,0.5423234309024778
