catalog,cid,z,mu_obs,muerr,mB,lcdm_distance_mpc,lcdm_distance_mly,lcdm_mu,stam_su,stam_distance_mly,stam_distance_mpc,stam_mu,observed_distance_mpc,observed_distance_mly,lcdm_residual_mu,stam_residual_mu,lcdm_abs_residual_mu,stam_abs_residual_mu,lcdm_sq_residual_mu,stam_sq_residual_mu,lcdm_residual_sigma,stam_residual_sigma,weight,stam_minus_lcdm_mu
DES,2008fr,0.03828,36.24514,0.0994,16.54311,168.7416983378204,550.3618107993544,36.136112079226095,158.02246697542685,535.6623499703055,164.23482315812473,36.07732623596229,177.4303870800645,578.7005232619968,0.10902792077390444,0.1678137640377102,0.10902792077390444,0.1678137640377102,0.011887087508280783,0.02816145940050428,1.096860369958797,1.688267243840143,101.21088705269847,-0.05878584326380576
DES,2001az,0.04101,36.41367,0.0927,16.73128,181.13700476448363,590.7898932329792,36.2900359104142,169.36102364289422,574.6133664916125,176.1772591171961,36.22974924576896,191.74939396037652,625.4028774111173,0.12363408958580635,0.18392075423104615,0.12363408958580635,0.18392075423104615,0.015285388107711191,0.03382684383691688,1.333701074280543,1.98404265621409,116.36986532515483,-0.060286664645239796
DES,2008051,0.03873,36.12057,0.1044,16.40088,170.78161674701357,557.0151347887744,36.16220560298833,159.89082815006194,542.075979621707,166.20125094917262,36.10317144135232,167.53825973649404,546.4367190506283,-0.04163560298832891,0.017398558647677476,0.04163560298832891,0.017398558647677476,0.0017335234362017434,0.00030270984301667266,-0.3988084577426141,0.1666528606099375,91.74850633431686,-0.05903416163600639
DES,2008gl,0.03272,35.80144,0.096,16.50514,143.6439989639198,468.5040636605024,35.78643743561844,134.9583998368341,456.6420613289721,140.0070925146834,35.73075018417579,144.63986240838054,471.7521357967981,0.015002564381561001,0.07068981582420975,0.015002564381561001,0.07068981582420975,0.0002250769380228828,0.004997050061260695,0.15627671230792708,0.7363522481688515,108.50694444444444,-0.055687251442648744
DES,2007ae,0.06533,37.1436,0.1021,17.53411,293.63216177665885,957.7000223193223,37.33901811243878,270.77472983531027,926.0089611561093,283.91563824999673,37.26594657197472,268.36136981003153,875.2777226501389,-0.19541811243878016,-0.12234657197472387,0.19541811243878016,0.12234657197472387,0.038188238669135725,0.014968683673966289,-1.9139873892143013,-1.1983013905457773,95.92869044866809,-0.07307154046405628
DES,2003ch,0.02919,35.74741,0.1139,16.43226,127.81241332989829,416.86833743993583,35.532865175953674,120.33496172944137,406.68748588163555,124.69095005108235,35.479174669738214,141.08537602512263,460.15895176687883,0.21454482404632813,0.26823533026178836,0.21454482404632813,0.26823533026178836,0.046029481525069894,0.07195019240065068,1.8836244429001592,2.3550072893923475,77.08192498232897,-0.05369050621546023
DES,2008hj,0.03682,36.11617,0.0895,16.48279,162.13218122832737,528.8044492181797,36.049346127380986,151.9623898137154,514.8723504992639,157.86058034122092,35.991368475323,167.19912487530343,545.3306090721902,0.06682387261901113,0.12480152467699668,0.06682387261901113,0.12480152467699668,0.004465429951801825,0.01557542056170301,0.7466354482571076,1.3944304433183987,124.84004868761899,-0.05797765205798555
DES,2003U,0.02833,35.33929,0.1479,16.20729,123.96755909228348,404.32810013453127,35.466540250387695,116.77463550543933,394.542520180972,120.96728663844837,35.41333969648826,116.91170657224781,381.31498714638457,-0.12725025038769644,-0.07404969648825954,0.12725025038769644,0.07404969648825954,0.016192626223731438,0.005483357550003357,-0.8603803271649523,-0.5006740803803891,45.71551872713367,-0.0532005538994369
DES,2004gs,0.02857,35.54768,0.167,16.8921,125.04006276639566,407.8261392676425,35.48524591507054,117.76812330433573,397.93081693511834,122.00614314620054,35.43190849219868,128.68739215300693,419.72213667415406,0.0624340849294569,0.11577150780131973,0.0624340849294569,0.11577150780131973,0.0038980149609786374,0.013403042018591035,0.37385679598477184,0.6932425616845492,35.856430850873096,-0.05333742287186283
DES,2007R,0.03174,35.84381,0.1068,16.3683,139.2408070244427,454.1427723319286,35.7188326587136,130.89709657775222,442.75692511179,135.74989039606933,35.6636974380668,147.48980451401349,481.0474037322277,0.12497734128639593,0.1801125619331998,0.12497734128639593,0.1801125619331998,0.015619335835016283,0.03244053496614074,1.170199824778988,1.6864472091123577,87.67130973923044,-0.05513522064680387
DES,2004L,0.03373,35.9177,0.1835,16.97786,148.18842288935826,483.32599211850015,35.85407138017125,139.14526615124626,470.96570609299357,144.3987419649934,35.797817047884124,152.59489334260212,497.69797652881465,0.063628619828755,0.11988295211587996,0.063628619828755,0.11988295211587996,0.004048601261312235,0.014371922208018367,0.3467499718188284,0.6533130905497545,29.69804512617957,-0.05625433228712495
DES,2009ad,0.02844,35.46983,0.097,15.88406,124.4590772400568,405.9312179205553,35.47513288365054,117.22997527577975,396.09539380892585,121.44339985732226,35.42186958486037,124.15551050541521,404.9411156552497,-0.0053028836505362165,0.04796041513963445,0.0053028836505362165,0.04796041513963445,2.812057501112431e-05,0.0023002014203660774,-0.054668903613775424,0.4944372694807675,106.28122010840684,-0.053263298790170666
DES,2005M,0.02598,35.16595,0.1391,15.63251,113.48557243733617,370.1404321602397,35.27470326319084,107.05048144766556,361.4061880595426,110.8076410214407,35.22284854650307,107.94188551606534,352.0593437123378,-0.10875326319083456,-0.05689854650307069,0.10875326319083456,0.05689854650307069,0.01182727225465493,0.003237444594162098,-0.7818351056134764,-0.40904778219317534,51.682764986580565,-0.05185471668776387
DES,2007bd,0.0312,35.70509,0.1008,16.25512,136.8171909435629,446.23799391560004,35.68070334740532,128.65974094436996,435.1114257479041,133.4057696340763,35.62587306342201,138.36237241879016,451.2777018425475,0.024386652594678537,0.07921693657798556,0.024386652594678537,0.07921693657798556,0.0005947088247735415,0.006275323040800587,0.24193107732816008,0.7858823073212854,98.41899722852104,-0.05483028398330703
DES,2007jg,0.03756,36.30183,0.1224,16.98633,165.48051215328735,539.7252440730898,36.09373428171812,155.03360774070444,525.4061811705478,161.09026750809358,36.035346513542066,182.12350508683807,594.0074269493828,0.2080957182818821,0.2664834864579362,0.2080957182818821,0.2664834864579362,0.04330382796725245,0.07101344855477705,1.7001284173356384,2.1771526671400014,66.74783203041567,-0.05838776817605407
DES,2003kc,0.03479,35.90221,0.1476,16.81702,152.96484145626818,498.9045858953474,35.92295810453939,143.54075398955973,486.0131291588661,149.01230285152212,35.86611063199268,151.51024483526365,494.160326247587,-0.020748104539393353,0.036099368007313615,0.020748104539393353,0.036099368007313615,0.00043048384197759507,0.0013031643705274578,-0.1405698139525295,0.2445756640061898,45.90154302627037,-0.05684747254670697
DES,2007sw,0.02517,35.21658,0.1559,15.98079,109.88089001018797,358.3835305318693,35.2046108422459,103.70032763311026,350.0018617011139,107.31105866350961,35.153222396831865,110.48822584881722,360.3643951030091,0.0119691577541019,0.06335760316813577,0.0119691577541019,0.06335760316813577,0.00014326073734257765,0.004014185879210968,0.07677458469597113,0.4063989940226797,41.144119209325225,-0.05138844541403387
DES,2010ag,0.03335,35.617,0.162,16.47021,146.4778729611138,477.7469244354986,35.8288601242468,137.56986212548514,465.5750095886385,142.74594690269166,35.77281892915036,132.86175963957996,433.3371024560728,-0.21186012424680456,-0.15581892915036377,0.21186012424680456,0.15581892915036377,0.04488471224587146,0.024279538681566085,-1.3077785447333614,-0.9618452416689122,38.103947568968145,-0.05604119509644079
