x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,grad_A_x,g_stam_x_m_s2,g_newton_x_m_s2,ratio_STAM_to_newton_x,abs_error_x_m_s2
13044381.309061812,0.033934394664572876,13044381.309061812,371355618.6909382,6.80287784020284e-10,-5.2128484361358824e-17,-2.3425372639736226,-2.342537263973622,1.0000000000000002,4.440892098500626e-16
13119622.24364873,0.03413013070668244,13119622.24364873,371280377.7563513,6.7638808225539e-10,-5.1532276581180996e-17,-2.3157450224717224,-2.315745022471722,1.0000000000000002,4.440892098500626e-16
13194863.178235646,0.034325866748792004,13194863.178235646,371205136.82176435,6.725328556529868e-10,-5.0946238936678485e-17,-2.2894098040751545,-2.289409804075154,1.0000000000000002,4.440892098500626e-16
13270104.112822564,0.03452160279090157,13270104.112822564,371129895.8871774,6.687213476965725e-10,-5.037014142603097e-17,-2.2635212730175622,-2.263521273017562,1.0000000000000002,4.440892098500626e-16
13345345.047409482,0.03471733883301114,13345345.047409482,371054654.9525905,6.649528189305791e-10,-4.98037605128292e-17,-2.238069384073673,-2.2380693840736727,1.0000000000000002,4.440892098500626e-16
13420585.981996398,0.0349130748751207,13420585.981996398,370979414.0180036,6.612265464821214e-10,-4.9246878909201455e-17,-2.2130443728134885,-2.213044372813488,1.0000000000000002,4.440892098500626e-16
13495826.916583316,0.03510881091723027,13495826.916583316,370904173.0834167,6.575418235987429e-10,-4.8699285367380166e-17,-2.1884367462357526,-2.188436746235752,1.0000000000000002,4.440892098500626e-16
13571067.851170234,0.03530454695933984,13571067.851170234,370828932.14882976,6.53897959201542e-10,-4.8160774479335124e-17,-2.16423727376392,-2.16423727376392,1.0,0.0
13646308.78575715,0.035500283001449404,13646308.78575715,370753691.2142429,6.50294277453079e-10,-4.763114648411854e-17,-2.140436978588675,-2.1404369785886748,1.0000000000000002,4.440892098500626e-16
13721549.720344068,0.03569601904355897,13721549.720344068,370678450.27965593,6.467301173394992e-10,-4.711020708258455e-17,-2.1170271293418383,-2.1170271293418383,1.0,0.0
13796790.654930986,0.03589175508566854,13796790.654930986,370603209.345069,6.432048322663314e-10,-4.6597767259162463e-17,-2.0939992320872594,-2.093999232087259,1.0000000000000002,4.440892098500626e-16
13872031.589517903,0.0360874911277781,13872031.589517903,370527968.4104821,6.397177896674379e-10,-4.609364311037827e-17,-2.0713450226149552,-2.071345022614955,1.0000000000000002,4.440892098500626e-16
13947272.524104822,0.036283227169887675,13947272.524104822,370452727.47589517,6.362683706266242e-10,-4.559765567983413e-17,-2.0490564590254596,-2.049056459025459,1.0000000000000002,4.440892098500626e-16
14022513.458691739,0.036478963211997235,14022513.458691739,370377486.5413083,6.328559695114296e-10,-4.510963079936943e-17,-2.027125714591956,-2.0271257145919566,0.9999999999999998,4.440892098500626e-16
14097754.393278655,0.0366746992541068,14097754.393278655,370302245.60672134,6.29479993618645e-10,-4.462939893613996e-17,-2.0055451708883605,-2.00554517088836,1.0000000000000002,4.440892098500626e-16
14172995.327865575,0.03687043529621638,14172995.327865575,370227004.6721344,6.261398628311219e-10,-4.415679504536465e-17,-1.9843074111720864,-1.9843074111720862,1.0000000000000002,2.220446049250313e-16
14248236.26245249,0.03706617133832594,14248236.26245249,370151763.7375475,6.228350092854554e-10,-4.3691658428501376e-17,-1.963405214010787,-1.9634052140107867,1.0000000000000002,2.220446049250313e-16
14323477.197039407,0.0372619073804355,14323477.197039407,370076522.8029606,6.195648770501402e-10,-4.323383259662359e-17,-1.9428315471428041,-1.9428315471428041,1.0,0.0
14398718.131626327,0.037457643422545074,14398718.131626327,370001281.8683737,6.163289218138186e-10,-4.278316513878165e-17,-1.9225795615616241,-1.922579561561624,1.0000000000000002,2.220446049250313e-16
14473959.066213243,0.037653379464654635,14473959.066213243,369926040.93378675,6.131266105832519e-10,-4.2339507595141713e-17,-1.9026425858150218,-1.9026425858150218,1.0,0.0
14549200.000800159,0.0378491155067642,14549200.000800159,369850799.99919987,6.099574213906625e-10,-4.190271533470502e-17,-1.88301412051004,-1.88301412051004,1.0,0.0
14624440.935387079,0.03804485154887377,14624440.935387079,369775559.0646129,6.068208430101107e-10,-4.1472647437419704e-17,-1.8636878330153583,-1.863687833015358,1.0000000000000002,4.440892098500626e-16
14699681.869973995,0.03824058759098334,14699681.869973995,369700318.130026,6.037163746825828e-10,-4.104916658050579e-17,-1.8446575523529942,-1.844657552352994,1.0000000000000002,2.220446049250313e-16
14774922.804560913,0.038436323633092906,14774922.804560913,369625077.1954391,6.006435258494775e-10,-4.0632138928821724e-17,-1.8259172642716186,-1.8259172642716184,1.0000000000000002,2.220446049250313e-16
14850163.73914783,0.038632059675202474,14850163.73914783,369549836.26085216,5.976018158941953e-10,-4.022143402910968e-17,-1.8074611064941795,-1.8074611064941792,1.0000000000000002,2.220446049250313e-16
14925404.673734747,0.038827795717312034,14925404.673734747,369474595.3262653,5.945907738915438e-10,-3.9816924707963075e-17,-1.789283364132788,-1.7892833641327879,1.0000000000000002,2.220446049250313e-16
15000645.608321665,0.0390235317594216,15000645.608321665,369399354.39167833,5.916099383646848e-10,-3.941848697336757e-17,-1.7713784652641942,-1.7713784652641937,1.0000000000000002,4.440892098500626e-16
15075886.542908581,0.03921926780153117,15075886.542908581,369324113.4570914,5.886588570493594e-10,-3.9025999919673235e-17,-1.7537409766594474,-1.7537409766594472,1.0000000000000002,2.220446049250313e-16
15151127.477495499,0.03941500384364074,15151127.477495499,369248872.5225045,5.857370866651381e-10,-3.8639345635861757e-17,-1.7363655996616303,-1.7363655996616303,1.0,0.0
15226368.412082417,0.039610739885750305,15226368.412082417,369173631.58791757,5.828441926934531e-10,-3.825840911697899e-17,-1.719247166205837,-1.7192471662058373,0.9999999999999999,2.220446049250313e-16
15301609.346669335,0.03980647592785987,15301609.346669335,369098390.6533307,5.799797491621808e-10,-3.7883078178608336e-17,-1.7023806349757984,-1.7023806349757984,1.0,0.0
15376850.281256251,0.040002211969969434,15376850.281256251,369023149.71874374,5.77143338436546e-10,-3.751324337426649e-17,-1.6857610876918308,-1.685761087691831,0.9999999999999999,2.220446049250313e-16
15452091.215843169,0.040197948012079,15452091.215843169,368947908.78415686,5.74334551016137e-10,-3.7148797915607865e-17,-1.6693837255250032,-1.669383725525003,1.0000000000000002,2.220446049250313e-16
15527332.150430087,0.04039368405418857,15527332.150430087,368872667.8495699,5.715529853378223e-10,-3.678963759532906e-17,-1.6532438656326356,-1.6532438656326351,1.0000000000000002,4.440892098500626e-16
15602573.085017003,0.04058942009629814,15602573.085017003,368797426.914983,5.687982475843687e-10,-3.643566071266951e-17,-1.6373369378104663,-1.637336937810466,1.0000000000000002,2.220446049250313e-16
15677814.019603921,0.040785156138407705,15677814.019603921,368722185.9803961,5.660699514985706e-10,-3.608676800140889e-17,-1.6216584812570158,-1.6216584812570156,1.0000000000000002,2.220446049250313e-16
15753054.95419084,0.04098089218051727,15753054.95419084,368646945.04580915,5.633677182027066e-10,-3.5742862560266044e-17,-1.6062041414458708,-1.6062041414458705,1.0000000000000002,2.220446049250313e-16
15828295.888777755,0.041176628222626833,15828295.888777755,368571704.11122227,5.606911760231449e-10,-3.540384978560839e-17,-1.5909696671017954,-1.5909696671017952,1.0000000000000002,2.220446049250313e-16
15903536.823364673,0.0413723642647364,15903536.823364673,368496463.1766353,5.580399603199274e-10,-3.506963730638446e-17,-1.5759509072767468,-1.5759509072767466,1.0000000000000002,2.220446049250313e-16
