body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,7846023.425752202,1.2315214920345632,1.1305220989696088e-09,1.440885449384476e-16,-1.4408854495275555e-16,1.4408854495275555e-16,6.475016298004122,6.475016298004123,6.475016298647089,1.0000000000000002,1.0000000000992997
Earth,7863241.632438086,1.2342240829442923,1.1280465851709845e-09,1.4345821200730683e-16,-1.434582120226848e-16,1.434582120226848e-16,6.446690548694566,6.4466905486945665,6.446690549385617,1.0000000000000002,1.0000000001071947
Earth,7880497.624716144,1.236932604727067,1.1255764920258576e-09,1.4283063654452924e-16,-1.4283063655908596e-16,1.4283063655908596e-16,6.4184887138335895,6.41848871383359,6.4184887144877365,1.0000000000000002,1.000000000101916
Earth,7897791.485507411,1.2396470703982752,1.1231118076645729e-09,1.4220580648723166e-16,-1.4220580650165778e-16,1.4220580650165778e-16,6.390410251342259,6.390410251342259,6.390410251990537,1.0,1.0000000001014455
Earth,7915123.29791483,1.242367493001857,1.1206525202434751e-09,1.4158370982530382e-16,-1.4158370983956445e-16,1.4158370983956445e-16,6.362454621513132,6.362454621513132,6.362454622153973,1.0,1.0000000001007223
Earth,7932493.14522378,1.2450938856103877,1.118198617944834e-09,1.4096433460117274e-16,-1.4096433461515592e-16,1.4096433461515592e-16,6.3346212869996785,6.3346212869996785,6.334621287628051,1.0,1.0000000000991967
Earth,7949901.110902342,1.2478262613251203,1.1157500889768063e-09,1.4034766890957776e-16,-1.403476689224402e-16,1.403476689224402e-16,6.306909712806163,6.306909712806163,6.306909713384171,1.0,1.000000000091647
Earth,7967347.278601839,1.2505646332760696,1.1133069215733599e-09,1.3973370089733683e-16,-1.3973370091205724e-16,1.3973370091205724e-16,6.279319366277147,6.279319366277148,6.279319366938651,1.0000000000000002,1.0000000001053464
Earth,7984831.7321571,1.2533090146220531,1.1108691039942358e-09,1.3912241876312338e-16,-1.3912241877676666e-16,1.3912241877676666e-16,6.251849717087467,6.251849717087467,6.251849717700566,1.0,1.0000000000980669
Earth,8002354.5555869965,1.2560594185507763,1.1084366245248742e-09,1.3851381075723494e-16,-1.3851381077071334e-16,1.3851381077071334e-16,6.224500237231821,6.224500237231821,6.2245002378375105,1.0,1.0000000000973073
Earth,8019915.833094715,1.2588158582788753,1.1060094714763752e-09,1.3790786518137184e-16,-1.3790786519621174e-16,1.3790786519621174e-16,6.197270401014839,6.19727040101484,6.1972704016817115,1.0000000000000002,1.0000000001076075
Earth,8037515.649068292,1.2615783470520001,1.1035876331854261e-09,1.3730457038840774e-16,-1.3730457040227451e-16,1.3730457040227451e-16,6.170159685040767,6.170159685040768,6.17015968566391,1.0000000000000002,1.000000000100993
Earth,8055154.088080892,1.2643468981448582,1.101171098014261e-09,1.367039147821703e-16,-1.3670391479599933e-16,1.3670391479599933e-16,6.143167568203607,6.143167568203608,6.143167568825053,1.0000000000000002,1.0000000001011604
Earth,8072831.234891338,1.2671215248612995,1.09875985435059e-09,1.3610588681721395e-16,-1.3610588683074568e-16,1.3610588683074568e-16,6.1162935316769085,6.116293531676909,6.1162935322849945,1.0000000000000002,1.0000000000994207
Earth,8090547.174444411,1.2699022405343605,1.096353890607556e-09,1.355104749986016e-16,-1.3551047501108236e-16,1.3551047501108236e-16,6.089537058903961,6.089537058903962,6.089537059464819,1.0000000000000002,1.0000000000921019
Earth,8108301.991871303,1.2726890585263386,1.093953195223675e-09,1.3491766788168222e-16,-1.349176678951154e-16,1.349176678951154e-16,6.062897635587794,6.062897635587795,6.062897636191451,1.0000000000000002,1.0000000000995657
Earth,8126095.772490078,1.2754819922288616,1.0915577566627715e-09,1.3432745407186922e-16,-1.3432745408533165e-16,1.3432745408533165e-16,6.036374749681223,6.036374749681224,6.036374750286195,1.0000000000000002,1.0000000001002212
Earth,8143928.601805965,1.278281055062936,1.0891675634139402e-09,1.3373982222442504e-16,-1.3373982223733803e-16,1.3373982223733803e-16,6.009967891377166,6.009967891377166,6.009967891957447,1.0,1.000000000096553
Earth,8161800.565511903,1.2810862604790305,1.0867826039914726e-09,1.3315476104423908e-16,-1.331547610570786e-16,1.331547610570786e-16,5.9836765530986655,5.983676553098666,5.983676553675646,1.0000000000000002,1.0000000000964258
Earth,8179711.749488816,1.2838976219571208,1.0844028669348194e-09,1.325722592856146e-16,-1.3257225929935452e-16,1.3257225929935452e-16,5.957500229489313,5.957500229489314,5.957500230106755,1.0000000000000002,1.000000000103641
Earth,8197662.239806164,1.286715153006775,1.0820283408085176e-09,1.3199230575204847e-16,-1.3199230576509596e-16,1.3199230576509596e-16,5.931438417403349,5.93143841740335,5.931438417989675,1.0000000000000002,1.0000000000988505
Earth,8215652.122722221,1.2895388671671983,1.079659014202153e-09,1.314148892960201e-16,-1.3141488930999893e-16,1.3141488930999893e-16,5.9054906158961815,5.9054906158961815,5.905490616524359,1.0,1.0000000001063718
Earth,8233681.48468462,1.2923687780073176,1.077294875730289e-09,1.3083999881877304e-16,-1.308399988316946e-16,1.308399988316946e-16,5.879656326214568,5.879656326214568,5.879656326795234,1.0,1.0000000000987586
Earth,8251750.412330641,1.2952048991258267,1.0749359140324277e-09,1.3026762327010574e-16,-1.302676232821496e-16,1.302676232821496e-16,5.853935051787214,5.853935051787215,5.853935052328439,1.0000000000000002,1.000000000092455
