body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,7575603.994953713,1.189076125404758,1.1708773158885658e-09,1.5455893901905571e-16,-1.5455893903365861e-16,1.5455893903365861e-16,6.945532343172214,6.945532343172215,6.945532343828437,1.0000000000000002,1.0000000000944813
Earth,7592228.762466821,1.1916855693716562,1.1683134359302525e-09,1.538828020707125e-16,-1.5388280208582792e-16,1.5388280208582792e-16,6.915148263979277,6.915148263979277,6.91514826465853,1.0,1.0000000000982268
Earth,7608890.013261648,1.1943007397993484,1.1657551701215638e-09,1.5320962296599788e-16,-1.5320962298266316e-16,1.5320962298266316e-16,6.884897103650292,6.884897103650293,6.884897104399194,1.0000000000000002,1.0000000001087745
Earth,7625587.827401291,1.1969216492546368,1.163202506169144e-09,1.525393887654625e-16,-1.525393887805596e-16,1.525393887805596e-16,6.854778280715408,6.854778280715408,6.854778281393838,1.0,1.0000000000989717
Earth,7642322.2851245,1.1995483103318945,1.1606554318065636e-09,1.5187208658626405e-16,-1.5187208660120924e-16,1.5187208660120924e-16,6.824791216248559,6.824791216248559,6.824791216920163,1.0,1.0000000000984066
Earth,7659093.466846108,1.2021807356531327,1.1581139347942526e-09,1.5120770360191795e-16,-1.512077036164153e-16,1.512077036164153e-16,6.794935333856275,6.794935333856276,6.794935334507754,1.0000000000000002,1.000000000095877
Earth,7675901.45315747,1.2048189378680694,1.1555780029194354e-09,1.505462270420486e-16,-1.505462270573494e-16,1.505462270573494e-16,6.7652100596664955,6.765210059666496,6.76521006035408,1.0000000000000002,1.0000000001016354
Earth,7692746.324826731,1.2074629296541723,1.1530476239960878e-09,1.498876441921486e-16,-1.4988764420621624e-16,1.4988764420621624e-16,6.735614822317752,6.7356148223177525,6.73561482294992,1.0000000000000002,1.0000000000938545
Earth,7709628.162799353,1.2101127237167404,1.1505227858648607e-09,1.4923194239332913e-16,-1.4923194240813718e-16,1.4923194240813718e-16,6.706149052947948,6.706149052947949,6.70614905361339,1.0000000000000002,1.0000000000992286
Earth,7726547.048198366,1.2127683327889445,1.1480034763930394e-09,1.485791090420817e-16,-1.4857910905879342e-16,1.4857910905879342e-16,6.676812185183661,6.676812185183662,6.67681218593465,1.0000000000000002,1.0000000001124771
Earth,7743503.062324888,1.2154297696319083,1.1454896834744667e-09,1.4792913159003105e-16,-1.4792913160557671e-16,1.4792913160557671e-16,6.647603655129028,6.6476036551290285,6.6476036558276155,1.0000000000000002,1.0000000001050886
Earth,7760496.286658396,1.2180970470347505,1.1429813950295041e-09,1.4728199754369861e-16,-1.4728199755805445e-16,1.4728199755805445e-16,6.618522901355119,6.618522901355119,6.6185229020002385,1.0,1.0000000000974718
Earth,7777526.802857232,1.2207701778146653,1.1404785990049546e-09,1.4663769446425779e-16,-1.466376944783489e-16,1.466376944783489e-16,6.589569364888943,6.589569364888943,6.589569365522166,1.0,1.0000000000960947
Earth,7794594.692758878,1.223449174816964,1.1379812833740235e-09,1.459962099672995e-16,-1.4599620998093104e-16,1.4599620998093104e-16,6.56074248920291,6.5607424892029105,6.560742489815481,1.0000000000000002,1.0000000000933693
Earth,7811700.038380472,1.2261340509151581,1.1354894361362418e-09,1.4535753172258932e-16,-1.4535753173770414e-16,1.4535753173770414e-16,6.532041720203919,6.53204172020392,6.5320417208831465,1.0000000000000002,1.000000000103984
Earth,7828842.921919078,1.2288248190109994,1.1330030453174272e-09,1.4472164745383538e-16,-1.447216474684963e-16,1.447216474684963e-16,6.503466506222926,6.503466506222926,6.503466506881756,1.0,1.0000000001013043
