catalog,z_bin,n,z_mean,observed_distance_mly_weighted_mean,lcdm_distance_mly_weighted_mean,unadjusted_distance_mly_weighted_mean,adjusted_union_distance_mly_weighted_mean,unadjusted_over_lcdm_weighted_mean,adjusted_union_over_lcdm_weighted_mean,unadjusted_fraction_of_observed_weighted_mean,observed_excess_over_unadjusted_fraction_weighted_mean,stam_union_excess_fraction_weighted_mean,rmse_mu_lcdm,rmse_mu_stam_unadjusted,rmse_mu_stam_adjusted_union,rmse_mu_stam_adjusted_des
Pantheon,0.800-1.000,5,0.8889039999999999,17672.897610819968,19001.521443912745,13725.93173698839,17879.69325896618,0.7227944626561374,0.9406070544490335,0.7870422747627851,0.21295772523721507,0.23152240115546247,0.2639434221856122,0.5684511517726746,0.1965839213111339,0.2428278703202045
Pantheon,1.000-1.250,8,1.0897975,25222.746977531075,24002.94978718689,16996.247163747492,22985.451126288062,0.7085627698024121,0.9568185898388709,0.6779233102196028,0.3220766897803971,0.2593601804480132,0.1853019515385916,0.8639717407137945,0.25138125505057635,0.18389808185533799
Pantheon,1.250-1.500,10,1.34074,29635.432231800372,30784.532126980244,21433.394130322966,30248.65913965828,0.696265243311391,0.9825071826677024,0.7255893669807085,0.27441063301929147,0.2913270066228885,0.16849795776061857,0.715884615581632,0.15784756994694688,0.2043073057697302
Pantheon,1.500-2.000,6,1.6861433333333335,37596.61256003524,40689.27472430955,28018.9628596511,41782.931590916975,0.6887486768134673,1.025125912036892,0.7446968206468089,0.2553031793531912,0.32790626397494294,0.21514463951751317,0.6580199477729635,0.2765214529737125,0.3455487309762239
Pantheon,2.000-2.500,1,2.26137,56232.303595970596,58885.691387676,40541.988638131195,65305.251161770466,0.6884862465352,1.1090173117240159,0.7209732848475426,0.2790267151524575,0.3791925164225633,0.10011951748770542,0.710404137278374,0.32481114511146103,0.3973112726896275
Union3,0.025-0.050,1,0.05,691.0318665009587,725.0099282313973,674.374680222464,703.8358843454349,0.9301592350156447,0.9707948221652429,0.9758951980567288,0.024104801943271283,0.041858059212723626,0.10422939377067308,0.05298409480949573,0.039866650327986974,0.18607792635634013
Union3,0.075-0.100,1,0.1,1447.1904070091696,1501.2975968234775,1358.7896782646176,1441.1394947565007,0.9050768356251382,0.9599292623965678,0.9389156200065996,0.06108437999340047,0.05714215507347341,0.07970557178336435,0.13686717930915648,0.009098273866321449,0.13382682829216463
Union3,0.100-0.150,1,0.15,2202.7442439707793,2326.057387145236,2053.2449941264595,2211.9108312331973,0.8827146765482005,0.9509270250412306,0.9321304548843924,0.06786954511560762,0.0717324744136623,0.11828175066924729,0.15261651188001935,0.009017701087451258,0.1488011491316854
Union3,0.150-0.200,1,0.2,3022.747530633209,3196.553906651788,2757.740627807992,3016.1498937755255,0.862723016204839,0.9435629687017462,0.9123291309844515,0.08767086901554856,0.08567520682603227,0.1214007885786259,0.19924228870954863,0.004744770807555199,0.13203221135852772
Union3,0.200-0.250,1,0.25,3814.957244663989,4110.141937676001,3472.2765793092126,3853.8566823834835,0.8448069755159217,0.9376456435863553,0.9101744414477811,0.0898255585522188,0.09901253069905967,0.16183572399720703,0.2043768202744829,0.02202942489290649,0.15592658459069497
