x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_total,g_finite_diff_x_m_s2,g_finite_diff_y_m_s2,g_newton_x_m_s2,g_newton_y_m_s2,relative_vector_error
315757142.8571428,-230640000.0,0.8214285714285713,-0.6,2.3137622273980812e-11,-0.002081075351422494,0.0016202110303719396,-0.002081059892128082,0.0016188183316527883,0.0005282607208226881
320905357.14285713,-230640000.0,0.8348214285714286,-0.6,2.290100388927996e-11,-0.0020498122282284342,0.0015733071182289496,-0.002049795690973172,0.0015721154146385722,0.00046136292135185754
326053571.4285714,-230640000.0,0.8482142857142857,-0.6,2.266794474109245e-11,-0.0020189455344539298,0.001528089858530885,-0.0020189280913614294,0.001527080279652728,0.0003988800335729831
331201785.7142857,-230640000.0,0.8616071428571428,-0.6,2.2438398108916773e-11,-0.0019884970395402267,0.0014844854293737317,-0.001988478851861557,0.0014836408577617714,0.00034049812189521214
336350000.0,-230640000.0,0.875,-0.6,2.2212315003686998e-11,-0.001958484642376876,0.001442422084217058,-0.0019584658606861005,0.0014417270605959142,0.00028589814894212435
341498214.28571427,-230640000.0,0.8883928571428571,-0.6,2.198964459645145e-11,-0.0019289226277265416,0.0014018302917082866,-0.0019289033920507838,0.001401270920402964,0.0002347583527507622
346646428.57142854,-230640000.0,0.9017857142857142,-0.6,2.17703346178759e-11,-0.0018998219194946815,0.001362642863183829,-0.001899802359390742,0.0013622067173930815,0.000186757748703714
351794642.8571428,-230640000.0,0.9151785714285713,-0.6,2.1554331728854695e-11,-0.0018711903321224816,0.0013247950673215035,-0.0018711705667148967,0.0013244710939558902,0.0001415822849898886
356942857.14285713,-230640000.0,0.9285714285714286,-0.6,2.1341581862386785e-11,-0.0018430328210210867,0.0012882247310297787,-0.0018430129590186813,0.0012880031549715133,9.894007679957385e-05
362091071.4285714,-230640000.0,0.9419642857142857,-0.6,2.1132030536791473e-11,-0.0018153517325468918,0.0012528723253862515,-0.0018153318722581718,0.0012527445531784432,5.862567853365863e-05
367239285.7142857,-230640000.0,0.9553571428571428,-0.6,2.0925623140306762e-11,-0.001788147053571621,0.0012186810352835015,-0.0017881272829362454,0.0012186395584142561,2.123379139474244e-05
372387500.0,-230640000.0,0.96875,-0.6,2.0722305187134114e-11,-0.0017614166602301395,0.0011855968114072746,-0.0017613970568874798,0.0011856351095160856,2.026298618864143e-05
377535714.28571427,-230640000.0,0.9821428571428571,-0.6,2.0522022545066676e-11,-0.0017351565649874208,0.001153568403273737,-0.0017351371963978501,0.0011536808477562218,5.475934891176362e-05
382683928.57142854,-230640000.0,0.9955357142857142,-0.6,2.0324721634961185e-11,-0.0017093611607485151,0.001122547372267611,-0.0017093420843830346,0.0011227291308881487,8.936400580330159e-05
387832142.8571428,-230640000.0,1.0089285714285714,-0.6,2.0130349602480696e-11,-0.0016840234603894893,0.0010924880839494405,-0.001684004723998544,0.0010927350271773097,0.00012336563968032489
392980357.14285713,-230640000.0,1.0223214285714286,-0.6,1.993885446273802e-11,-0.0016591353298172162,0.001063347679310066,-0.001659116971785925,0.0010636562891706578,0.00015686835395023468
398128571.4285714,-230640000.0,1.0357142857142856,-0.6,1.9750185218697587e-11,-0.001634687712494454,0.0010350860251277703,-0.0016346697622872124,0.00103545330739683,0.00019003438453003415
403276785.7142857,-230640000.0,1.0491071428571428,-0.6,1.9564291954435358e-11,-0.0016106708433018542,0.0010076656440894628,-0.0016106533219941834,0.001008089044658409,0.0002230193047700537
408425000.0,-230640000.0,1.0625,-0.6,1.938112590459924e-11,-0.0015870744496508042,0.0009810516258506638,-0.0015870573705425186,0.0009815289520515502,0.0002559583802029927
413573214.28571427,-230640000.0,1.0758928571428572,-0.6,1.9200639501644328e-11,-0.0015638879379111861,0.0009552115206977995,-0.001563871307210096,0.0009557408682989366,0.00028896251579173536
418721428.57142854,-230640000.0,1.0892857142857142,-0.6,1.902278640262649e-11,-0.0015411005634596356,0.0009301152179070029,-0.0015410843810231528,0.0009306949043844913,0.0003221171344397405
423869642.8571428,-230640000.0,1.1026785714285714,-0.6,1.8847521497514253e-11,-0.001518701582980859,0.0009057348112555208,-0.0015186858430984618,0.0009063633158112663,0.00035548236918758367
429017857.14285713,-230640000.0,1.1160714285714286,-0.6,1.867480090111453e-11,-0.001496680388035166,0.0008820444544040969,-0.0014966650802343523,0.0008827203650513108,0.0003890940420268875
434166071.4285714,-230640000.0,1.1294642857142856,-0.6,1.8504581930796867e-11,-0.0014750266193279645,0.0008590202090319578,-0.0014750117291860102,0.0008597421769079608,0.0004229651964730574
439314285.7142857,-230640000.0,1.1428571428571428,-0.6,1.8336823072240477e-11,-0.0014537302615558287,0.0008366398886579346,-0.0014537157714979714,0.0008374065895630382,0.00045708804357033617
