x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,dA_dx_analytic,dA_dx_numeric,accel_newton_x_m_s2,accel_from_A_gradient_x_analytic_m_s2,accel_from_A_gradient_x_numeric_m_s2,ratio_A_accel_to_newton,ratio_A_numeric_accel_to_newton
14526703.23441147,0.037790591140508506,14526703.23441147,369873296.7655885,6.10901556891212e-10,-4.2032603606220266e-17,-4.203573969900516e-17,-1.8888510083441148,-1.888851008344115,-1.888991937325686,1.0000000000000002,1.0000746109571104
14652175.591863956,0.038117002059999884,14652175.591863956,369747824.40813607,6.05672790658373e-10,-4.1315788276208136e-17,-4.1318818314727127e-17,-1.8566389338417977,-1.856638933841798,-1.8567750969823336,1.0000000000000002,1.0000733385140503
14777647.94931644,0.03844341297949126,14777647.94931644,369622352.05068356,6.005328178090125e-10,-4.061715406616754e-17,-4.0620082495879624e-17,-1.825243878125963,-1.8252438781259632,-1.8253754751944284,1.0000000000000002,1.000072098348085
14903120.306768924,0.03876982389898263,14903120.306768924,369496879.6932311,5.954793956370281e-10,-3.9936091278923976e-17,-3.9938922323541884e-17,-1.794638442771959,-1.794638442771959,-1.794765663572538,1.0,1.0000708893766828
15028592.664221408,0.039096234818474004,15028592.664221408,369371407.3357786,5.905103563329197e-10,-3.927201556213582e-17,-3.927475323642362e-17,-1.764796368295123,-1.7647963682951229,-1.764919393242316,0.9999999999999999,1.000069710562308
15154065.021673892,0.03942264573796538,15154065.021673892,369245934.9783261,5.856236038831509e-10,-3.86243666544381e-17,-3.862701477617269e-17,-1.7356924778052945,-1.7356924778052945,-1.7358114784614391,1.0,1.0000685609102224
15279537.379126376,0.039749056657456754,15279537.379126376,369120462.62087363,5.80817111122283e-10,-3.799260720336325e-17,-3.799516940451879e-17,-1.7073026238868219,-1.707302623886822,-1.7074177634646974,1.0000000000000002,1.0000674394663633
15405009.73657886,0.040075467576948125,15405009.73657886,368994990.2634211,5.760889169291679e-10,-3.737622165038082e-17,-3.737870138759338e-17,-1.679603638494746,-1.6796036384947461,-1.6797150723278311,1.0000000000000002,1.0000663453153655
15530482.094031345,0.0404018784964395,15530482.094031345,368869517.90596867,5.714371235590554e-10,-3.677471517873595e-17,-3.6777115743100174e-17,-1.652573285673019,-1.6525732856730193,-1.6526811616557313,1.0000000000000002,1.0000652775786996
15655954.451483829,0.040728289415930874,15655954.451483829,368744045.54851615,5.668598941039885e-10,-3.618761272007641e-17,-3.618993724632197e-17,-1.6261902169145503,-1.6261902169145503,-1.6262946759146157,1.0,1.0000642354129172
