trial,correction_mode,model,n_test,z_min,z_max,weighted_mean_resid,weighted_rmse,weighted_mae,mean_resid,median_resid,alpha,beta_z,gamma_z2
220,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.0251,0.97242,-0.1027676205903629,0.2685731738512981,0.21897970491494717,0.0032417381162525454,-0.009240176905432662,0.5048607003741573,-0.699292253454126,
220,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.0251,0.97242,-0.11703084427285568,0.27539252729120867,0.22458450161665408,-0.010548479040196635,-0.022597987695981203,0.5048607003741573,-0.699292253454126,
220,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.0251,0.97242,-0.23073753999591146,0.34637206463545883,0.2863984986369709,-0.12059560146461189,-0.13154157138494327,0.5048607003741573,-0.699292253454126,
220,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.0251,0.97242,-0.2380534958928264,0.3260408236308471,0.2786653624280548,-0.14456111978902672,-0.17433105015665618,0.5048607003741573,-0.699292253454126,
220,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.0251,0.97242,-0.11017396251983139,0.2969060438933032,0.22985579386128605,-0.003845712727058523,0.006746354929351384,0.6924084560176241,-2.489739423870593,2.4310624886083416
220,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.0251,0.97242,-0.12443718620232419,0.30335226208173677,0.2337703506662136,-0.017635929883507706,-0.006393590591979859,0.6924084560176241,-2.489739423870593,2.4310624886083416
220,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.0251,0.97242,-0.2381438819253799,0.3707195288310943,0.28483737750943594,-0.12768305230792296,-0.11312634321856052,0.6924084560176241,-2.489739423870593,2.4310624886083416
220,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.0251,0.97242,-0.24545983782229486,0.34474950858212333,0.27659359193109834,-0.15164857063233778,-0.15471058784041247,0.6924084560176241,-2.489739423870593,2.4310624886083416
220,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.0251,0.97242,0.1332643136662162,0.2029157808373944,0.16389196120878893,0.18383947061647032,0.15594478919735266,,,
220,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.0251,0.97242,0.11900108998372341,0.1940386514000178,0.15534145907128447,0.17004925346002112,0.14328845654271305,,,
